Math,CC.10.N.VM.6,9-12,N.VM,6,Use complex numbers in polynomial identities and equations.,"Use matrices to represent and manipulate data, e.g., to represent payoffs or incidence relationships in a network."
Math,CC.11.N.VM.6,9-12,N.VM,6,Use complex numbers in polynomial identities and equations.,"Use matrices to represent and manipulate data, e.g., to represent payoffs or incidence relationships in a network."
Math,CC.12.N.VM.6,9-12,N.VM,6,Use complex numbers in polynomial identities and equations.,"Use matrices to represent and manipulate data, e.g., to represent payoffs or incidence relationships in a network."
Math,CC.9.N.VM.7,9-12,N.VM,7,Use complex numbers in polynomial identities and equations.,"Multiply matrices by scalars to produce new matrices, e.g., as when all of the payoffs in a game are doubled."
Math,CC.10.N.VM.7,9-12,N.VM,7,Use complex numbers in polynomial identities and equations.,"Multiply matrices by scalars to produce new matrices, e.g., as when all of the payoffs in a game are doubled."
Math,CC.11.N.VM.7,9-12,N.VM,7,Use complex numbers in polynomial identities and equations.,"Multiply matrices by scalars to produce new matrices, e.g., as when all of the payoffs in a game are doubled."
Math,CC.12.N.VM.7,9-12,N.VM,7,Use complex numbers in polynomial identities and equations.,"Multiply matrices by scalars to produce new matrices, e.g., as when all of the payoffs in a game are doubled."
Math,CC.9.N.VM.8,9-12,N.VM,8,Use complex numbers in polynomial identities and equations.,"Add, subtract, and multiply matrices of appropriate dimensions."
Math,CC.10.N.VM.8,9-12,N.VM,8,Use complex numbers in polynomial identities and equations.,"Add, subtract, and multiply matrices of appropriate dimensions."
Math,CC.11.N.VM.8,9-12,N.VM,8,Use complex numbers in polynomial identities and equations.,"Add, subtract, and multiply matrices of appropriate dimensions."
Math,CC.12.N.VM.8,9-12,N.VM,8,Use complex numbers in polynomial identities and equations.,"Add, subtract, and multiply matrices of appropriate dimensions."
Math,CC.9.N.VM.9,9-12,N.VM,9,Use complex numbers in polynomial identities and equations.,"Understand that, unlike multiplication of numbers, matrix multiplication for square matrices is not a commutative operation, but still satisfies the associative and distributive properties."
Math,CC.10.N.VM.9,9-12,N.VM,9,Use complex numbers in polynomial identities and equations.,"Understand that, unlike multiplication of numbers, matrix multiplication for square matrices is not a commutative operation, but still satisfies the associative and distributive properties."
Math,CC.11.N.VM.9,9-12,N.VM,9,Use complex numbers in polynomial identities and equations.,"Understand that, unlike multiplication of numbers, matrix multiplication for square matrices is not a commutative operation, but still satisfies the associative and distributive properties."
Math,CC.12.N.VM.9,9-12,N.VM,9,Use complex numbers in polynomial identities and equations.,"Understand that, unlike multiplication of numbers, matrix multiplication for square matrices is not a commutative operation, but still satisfies the associative and distributive properties."
Math,CC.9.N.VM.10,9-12,N.VM,10,Use complex numbers in polynomial identities and equations.,Understand that the zero and identity matrices play a role in matrix addition and multiplication similar to the role of 0 and 1 in the real numbers. The determinant of a square matrix is nonzero if and only if the matrix has a multiplicative inverse.
Math,CC.10.N.VM.10,9-12,N.VM,10,Use complex numbers in polynomial identities and equations.,Understand that the zero and identity matrices play a role in matrix addition and multiplication similar to the role of 0 and 1 in the real numbers. The determinant of a square matrix is nonzero if and only if the matrix has a multiplicative inverse.
Math,CC.11.N.VM.10,9-12,N.VM,10,Use complex numbers in polynomial identities and equations.,Understand that the zero and identity matrices play a role in matrix addition and multiplication similar to the role of 0 and 1 in the real numbers. The determinant of a square matrix is nonzero if and only if the matrix has a multiplicative inverse.
Math,CC.12.N.VM.10,9-12,N.VM,10,Use complex numbers in polynomial identities and equations.,Understand that the zero and identity matrices play a role in matrix addition and multiplication similar to the role of 0 and 1 in the real numbers. The determinant of a square matrix is nonzero if and only if the matrix has a multiplicative inverse.
Math,CC.9.N.VM.11,9-12,N.VM,11,Use complex numbers in polynomial identities and equations.,Multiply a vector (regarded as a matrix with one column) by a matrix of suitable dimensions to produce another vector. Work with matrices as transformations of vectors.
Math,CC.10.N.VM.11,9-12,N.VM,11,Use complex numbers in polynomial identities and equations.,Multiply a vector (regarded as a matrix with one column) by a matrix of suitable dimensions to produce another vector. Work with matrices as transformations of vectors.
Math,CC.11.N.VM.11,9-12,N.VM,11,Use complex numbers in polynomial identities and equations.,Multiply a vector (regarded as a matrix with one column) by a matrix of suitable dimensions to produce another vector. Work with matrices as transformations of vectors.
Math,CC.12.N.VM.11,9-12,N.VM,11,Use complex numbers in polynomial identities and equations.,Multiply a vector (regarded as a matrix with one column) by a matrix of suitable dimensions to produce another vector. Work with matrices as transformations of vectors.
Math,CC.9.N.VM.12,9-12,N.VM,12,Use complex numbers in polynomial identities and equations.,"Work with 2 X 2 matrices as transformations of the plane, and interpret the absolute value of the determinant in terms of area."
Math,CC.10.N.VM.12,9-12,N.VM,12,Use complex numbers in polynomial identities and equations.,"Work with 2 X 2 matrices as transformations of the plane, and interpret the absolute value of the determinant in terms of area."
Math,CC.11.N.VM.12,9-12,N.VM,12,Use complex numbers in polynomial identities and equations.,"Work with 2 X 2 matrices as transformations of the plane, and interpret the absolute value of the determinant in terms of area."
Math,CC.12.N.VM.12,9-12,N.VM,12,Use complex numbers in polynomial identities and equations.,"Work with 2 X 2 matrices as transformations of the plane, and interpret the absolute value of the determinant in terms of area."
Math,CC.9.A.SSE.1,9-12,A.SSE,1,Interpret the structure of expressions.,Interpret expressions that represent a quantity in terms of its context.*
Math,CC.10.A.SSE.1,9-12,A.SSE,1,Interpret the structure of expressions.,Interpret expressions that represent a quantity in terms of its context.*
Math,CC.11.A.SSE.1,9-12,A.SSE,1,Interpret the structure of expressions.,Interpret expressions that represent a quantity in terms of its context.*
Math,CC.12.A.SSE.1,9-12,A.SSE,1,Interpret the structure of expressions.,Interpret expressions that represent a quantity in terms of its context.*
Math,CC.9.A.SSE.1a,9-12,A.SSE,1a,Interpret the structure of expressions.,"Interpret parts of an expression, such as terms, factors, and coefficients.*"
Math,CC.10.A.SSE.1a,9-12,A.SSE,1a,Interpret the structure of expressions.,"Interpret parts of an expression, such as terms, factors, and coefficients.*"
Math,CC.11.A.SSE.1a,9-12,A.SSE,1a,Interpret the structure of expressions.,"Interpret parts of an expression, such as terms, factors, and coefficients.*"
Math,CC.12.A.SSE.1a,9-12,A.SSE,1a,Interpret the structure of expressions.,"Interpret parts of an expression, such as terms, factors, and coefficients.*"
Math,CC.9.A.SSE.1b,9-12,A.SSE,1b,Interpret the structure of expressions.,"For example, interpret P(1+r)^n as the product of P and a factor not depending on P.*"
Math,CC.10.A.SSE.1b,9-12,A.SSE,1b,Interpret the structure of expressions.,"For example, interpret P(1+r)^n as the product of P and a factor not depending on P.*"
Math,CC.11.A.SSE.1b,9-12,A.SSE,1b,Interpret the structure of expressions.,"For example, interpret P(1+r)^n as the product of P and a factor not depending on P.*"
Math,CC.12.A.SSE.1b,9-12,A.SSE,1b,Interpret the structure of expressions.,"For example, interpret P(1+r)^n as the product of P and a factor not depending on P.*"
Math,CC.9.A.SSE.2,9-12,A.SSE,2,Interpret the structure of expressions.,"Use the structure of an expression to identify ways to rewrite it. For example, see x^4 – y^4 as (x^2)^2 – (y^2)^2, thus recognizing it as a difference of squares that can be factored as (x^2 – y^2)(x^2 + y^2)."
Math,CC.10.A.SSE.2,9-12,A.SSE,2,Interpret the structure of expressions.,"Use the structure of an expression to identify ways to rewrite it. For example, see x^4 – y^4 as (x^2)^2 – (y^2)^2, thus recognizing it as a difference of squares that can be factored as (x^2 – y^2)(x^2 + y^2)."
Math,CC.11.A.SSE.2,9-12,A.SSE,2,Interpret the structure of expressions.,"Use the structure of an expression to identify ways to rewrite it. For example, see x^4 – y^4 as (x^2)^2 – (y^2)^2, thus recognizing it as a difference of squares that can be factored as (x^2 – y^2)(x^2 + y^2)."
Math,CC.12.A.SSE.2,9-12,A.SSE,2,Interpret the structure of expressions.,"Use the structure of an expression to identify ways to rewrite it. For example, see x^4 – y^4 as (x^2)^2 – (y^2)^2, thus recognizing it as a difference of squares that can be factored as (x^2 – y^2)(x^2 + y^2)."
Math,CC.9.A.SSE.3,9-12,A.SSE,3,Write expressions in equivalent forms to solve problems.,Choose and produce an equivalent form of an expression to reveal and explain properties of the quantity represented by the expression.*
Math,CC.10.A.SSE.3,9-12,A.SSE,3,Write expressions in equivalent forms to solve problems.,Choose and produce an equivalent form of an expression to reveal and explain properties of the quantity represented by the expression.*
Math,CC.11.A.SSE.3,9-12,A.SSE,3,Write expressions in equivalent forms to solve problems.,Choose and produce an equivalent form of an expression to reveal and explain properties of the quantity represented by the expression.*
Math,CC.12.A.SSE.3,9-12,A.SSE,3,Write expressions in equivalent forms to solve problems.,Choose and produce an equivalent form of an expression to reveal and explain properties of the quantity represented by the expression.*
Math,CC.9.A.SSE.3a,9-12,A.SSE,3a,Write expressions in equivalent forms to solve problems.,Factor a quadratic expression to reveal the zeros of the function it defines.*
Math,CC.10.A.SSE.3a,9-12,A.SSE,3a,Write expressions in equivalent forms to solve problems.,Factor a quadratic expression to reveal the zeros of the function it defines.*
Math,CC.11.A.SSE.3a,9-12,A.SSE,3a,Write expressions in equivalent forms to solve problems.,Factor a quadratic expression to reveal the zeros of the function it defines.*
Math,CC.12.A.SSE.3a,9-12,A.SSE,3a,Write expressions in equivalent forms to solve problems.,Factor a quadratic expression to reveal the zeros of the function it defines.*
Math,CC.9.A.SSE.3b,9-12,A.SSE,3b,Write expressions in equivalent forms to solve problems.,Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.*
Math,CC.10.A.SSE.3b,9-12,A.SSE,3b,Write expressions in equivalent forms to solve problems.,Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.*
Math,CC.11.A.SSE.3b,9-12,A.SSE,3b,Write expressions in equivalent forms to solve problems.,Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.*
Math,CC.12.A.SSE.3b,9-12,A.SSE,3b,Write expressions in equivalent forms to solve problems.,Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.*
Math,CC.9.A.SSE.3c,9-12,A.SSE,3c,Write expressions in equivalent forms to solve problems.,For example the expression 1.15^t can be rewritten as [1.15^(1/12)]^(12t) ≈ 1.012^(12t) to reveal the approximate equivalent monthly interest rate if the annual rate is 15%.*
Math,CC.10.A.SSE.3c,9-12,A.SSE,3c,Write expressions in equivalent forms to solve problems.,For example the expression 1.15^t can be rewritten as [1.15^(1/12)]^(12t) ≈ 1.012^(12t) to reveal the approximate equivalent monthly interest rate if the annual rate is 15%.*
Math,CC.11.A.SSE.3c,9-12,A.SSE,3c,Write expressions in equivalent forms to solve problems.,For example the expression 1.15^t can be rewritten as [1.15^(1/12)]^(12t) ≈ 1.012^(12t) to reveal the approximate equivalent monthly interest rate if the annual rate is 15%.*
Math,CC.12.A.SSE.3c,9-12,A.SSE,3c,Write expressions in equivalent forms to solve problems.,For example the expression 1.15^t can be rewritten as [1.15^(1/12)]^(12t) ≈ 1.012^(12t) to reveal the approximate equivalent monthly interest rate if the annual rate is 15%.*
Math,CC.9.A.SSE.4,9-12,A.SSE,4,Write expressions in equivalent forms to solve problems.,"Derive the formula for the sum of a finite geometric series (when the common ratio is not 1), and use the formula to solve problems. For example, calculate mortgage payments.*"
Math,CC.10.A.SSE.4,9-12,A.SSE,4,Write expressions in equivalent forms to solve problems.,"Derive the formula for the sum of a finite geometric series (when the common ratio is not 1), and use the formula to solve problems. For example, calculate mortgage payments.*"
Math,CC.11.A.SSE.4,9-12,A.SSE,4,Write expressions in equivalent forms to solve problems.,"Derive the formula for the sum of a finite geometric series (when the common ratio is not 1), and use the formula to solve problems. For example, calculate mortgage payments.*"
Math,CC.12.A.SSE.4,9-12,A.SSE,4,Write expressions in equivalent forms to solve problems.,"Derive the formula for the sum of a finite geometric series (when the common ratio is not 1), and use the formula to solve problems. For example, calculate mortgage payments.*"
Math,CC.9.A.APR.1,9-12,A.APR,1,Perform arithmetic operations on polynomials.,"Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials."
Math,CC.10.A.APR.1,9-12,A.APR,1,Perform arithmetic operations on polynomials.,"Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials."
Math,CC.11.A.APR.1,9-12,A.APR,1,Perform arithmetic operations on polynomials.,"Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials."
Math,CC.12.A.APR.1,9-12,A.APR,1,Perform arithmetic operations on polynomials.,"Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials."
Math,CC.9.A.APR.2,9-12,A.APR,2,Understand the relationship between zeros and factors of polynomial.,"Know and apply the Remainder Theorem: For a polynomial p(x) and a number a, the remainder on division by x – a is p(a), so p(a) = 0 if and only if (x – a) is a factor of p(x)."
Math,CC.10.A.APR.2,9-12,A.APR,2,Understand the relationship between zeros and factors of polynomial.,"Know and apply the Remainder Theorem: For a polynomial p(x) and a number a, the remainder on division by x – a is p(a), so p(a) = 0 if and only if (x – a) is a factor of p(x)."
Math,CC.11.A.APR.2,9-12,A.APR,2,Understand the relationship between zeros and factors of polynomial.,"Know and apply the Remainder Theorem: For a polynomial p(x) and a number a, the remainder on division by x – a is p(a), so p(a) = 0 if and only if (x – a) is a factor of p(x)."
Math,CC.12.A.APR.2,9-12,A.APR,2,Understand the relationship between zeros and factors of polynomial.,"Know and apply the Remainder Theorem: For a polynomial p(x) and a number a, the remainder on division by x – a is p(a), so p(a) = 0 if and only if (x – a) is a factor of p(x)."
Math,CC.9.A.APR.3,9-12,A.APR,3,Understand the relationship between zeros and factors of polynomials.,"Identify zeros of polynomials when suitable factorizations are available, and use the zeros to construct a rough graph of the function defined by the polynomial."
Math,CC.10.A.APR.3,9-12,A.APR,3,Understand the relationship between zeros and factors of polynomials.,"Identify zeros of polynomials when suitable factorizations are available, and use the zeros to construct a rough graph of the function defined by the polynomial."
Math,CC.11.A.APR.3,9-12,A.APR,3,Understand the relationship between zeros and factors of polynomials.,"Identify zeros of polynomials when suitable factorizations are available, and use the zeros to construct a rough graph of the function defined by the polynomial."
Math,CC.12.A.APR.3,9-12,A.APR,3,Understand the relationship between zeros and factors of polynomials.,"Identify zeros of polynomials when suitable factorizations are available, and use the zeros to construct a rough graph of the function defined by the polynomial."
Math,CC.9.A.APR.4,9-12,A.APR,4,Use polynomial identities to solve problems.,"Prove polynomial identities and use them to describe numerical relationships. For example, the polynomial identity (x^2 + y^2)^2 = (x^2 – y^2)^2 + (2xy)^2 can be used to generate Pythagorean triples."
Math,CC.10.A.APR.4,9-12,A.APR,4,Use polynomial identities to solve problems.,"Prove polynomial identities and use them to describe numerical relationships. For example, the polynomial identity (x^2 + y^2)^2 = (x^2 – y^2)^2 + (2xy)^2 can be used to generate Pythagorean triples."
Math,CC.11.A.APR.4,9-12,A.APR,4,Use polynomial identities to solve problems.,"Prove polynomial identities and use them to describe numerical relationships. For example, the polynomial identity (x^2 + y^2)^2 = (x^2 – y^2)^2 + (2xy)^2 can be used to generate Pythagorean triples."
Math,CC.12.A.APR.4,9-12,A.APR,4,Use polynomial identities to solve problems.,"Prove polynomial identities and use them to describe numerical relationships. For example, the polynomial identity (x^2 + y^2)^2 = (x^2 – y^2)^2 + (2xy)^2 can be used to generate Pythagorean triples."
Math,CC.9.A.APR.5,9-12,A.APR,5,Use polynomial identities to solve problems.,"Know and apply that the Binomial Theorem gives the expansion of (x + y)^n in powers of x and y for a positive integer n, where x and y are any numbers, with coefficients determined for example by Pascal’s Triangle. (The Binomial Theorem can be proved by mathematical induction or by a combinatorial argument.)"
Math,CC.10.A.APR.5,9-12,A.APR,5,Use polynomial identities to solve problems.,"Know and apply that the Binomial Theorem gives the expansion of (x + y)^n in powers of x and y for a positive integer n, where x and y are any numbers, with coefficients determined for example by Pascal’s Triangle. (The Binomial Theorem can be proved by mathematical induction or by a combinatorial argument.)"
Math,CC.11.A.APR.5,9-12,A.APR,5,Use polynomial identities to solve problems.,"Know and apply that the Binomial Theorem gives the expansion of (x + y)^n in powers of x and y for a positive integer n, where x and y are any numbers, with coefficients determined for example by Pascal’s Triangle. (The Binomial Theorem can be proved by mathematical induction or by a combinatorial argument.)"
Math,CC.12.A.APR.5,9-12,A.APR,5,Use polynomial identities to solve problems.,"Know and apply that the Binomial Theorem gives the expansion of (x + y)^n in powers of x and y for a positive integer n, where x and y are any numbers, with coefficients determined for example by Pascal’s Triangle. (The Binomial Theorem can be proved by mathematical induction or by a combinatorial argument.)"
Math,CC.9.A.APR.6,9-12,A.APR,6,Rewrite rational expressions.,"Rewrite simple rational expressions in different forms; write a(x)/b(x) in the form q(x) + r(x)/b(x), where a(x), b(x), q(x), and r(x) are polynomials with the degree of r(x) less than the degree of b(x), using inspection, long division, or, for the more complicated examples, a computer algebra system."
Math,CC.10.A.APR.6,9-12,A.APR,6,Rewrite rational expressions.,"Rewrite simple rational expressions in different forms; write a(x)/b(x) in the form q(x) + r(x)/b(x), where a(x), b(x), q(x), and r(x) are polynomials with the degree of r(x) less than the degree of b(x), using inspection, long division, or, for the more complicated examples, a computer algebra system."
Math,CC.11.A.APR.6,9-12,A.APR,6,Rewrite rational expressions.,"Rewrite simple rational expressions in different forms; write a(x)/b(x) in the form q(x) + r(x)/b(x), where a(x), b(x), q(x), and r(x) are polynomials with the degree of r(x) less than the degree of b(x), using inspection, long division, or, for the more complicated examples, a computer algebra system."
Math,CC.12.A.APR.6,9-12,A.APR,6,Rewrite rational expressions.,"Rewrite simple rational expressions in different forms; write a(x)/b(x) in the form q(x) + r(x)/b(x), where a(x), b(x), q(x), and r(x) are polynomials with the degree of r(x) less than the degree of b(x), using inspection, long division, or, for the more complicated examples, a computer algebra system."
Math,CC.9.A.APR.7,9-12,A.APR,7,Rewrite rational expressions.,"Understand that rational expressions form a system analogous to the rational numbers, closed under addition, subtraction, multiplication, and division by a nonzero rational expression; add, subtract, multiply, and divide rational expressions."
Math,CC.10.A.APR.7,9-12,A.APR,7,Rewrite rational expressions.,"Understand that rational expressions form a system analogous to the rational numbers, closed under addition, subtraction, multiplication, and division by a nonzero rational expression; add, subtract, multiply, and divide rational expressions."
Math,CC.11.A.APR.7,9-12,A.APR,7,Rewrite rational expressions.,"Understand that rational expressions form a system analogous to the rational numbers, closed under addition, subtraction, multiplication, and division by a nonzero rational expression; add, subtract, multiply, and divide rational expressions."
Math,CC.12.A.APR.7,9-12,A.APR,7,Rewrite rational expressions.,"Understand that rational expressions form a system analogous to the rational numbers, closed under addition, subtraction, multiplication, and division by a nonzero rational expression; add, subtract, multiply, and divide rational expressions."
Math,CC.9.A.CED.1,9-12,A.CED,1,Create equations that describe numbers or relationship.,"Create equations and inequalities in one variable and use them to solve problems. Include equations arising from linear and quadratic functions, and simple rational and exponential functions.*"
Math,CC.10.A.CED.1,9-12,A.CED,1,Create equations that describe numbers or relationship.,"Create equations and inequalities in one variable and use them to solve problems. Include equations arising from linear and quadratic functions, and simple rational and exponential functions.*"
Math,CC.11.A.CED.1,9-12,A.CED,1,Create equations that describe numbers or relationship.,"Create equations and inequalities in one variable and use them to solve problems. Include equations arising from linear and quadratic functions, and simple rational and exponential functions.*"
Math,CC.12.A.CED.1,9-12,A.CED,1,Create equations that describe numbers or relationship.,"Create equations and inequalities in one variable and use them to solve problems. Include equations arising from linear and quadratic functions, and simple rational and exponential functions.*"
Math,CC.9.A.CED.2,9-12,A.CED,2,Create equations that describe numbers or relationship.,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.*
Math,CC.10.A.CED.2,9-12,A.CED,2,Create equations that describe numbers or relationship.,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.*
Math,CC.11.A.CED.2,9-12,A.CED,2,Create equations that describe numbers or relationship.,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.*
Math,CC.12.A.CED.2,9-12,A.CED,2,Create equations that describe numbers or relationship.,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.*
Math,CC.9.A.CED.3,9-12,A.CED,3,Create equations that describe numbers or relationship.,"Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or non-viable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods.*"
Math,CC.10.A.CED.3,9-12,A.CED,3,Create equations that describe numbers or relationship.,"Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or non-viable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods.*"
Math,CC.11.A.CED.3,9-12,A.CED,3,Create equations that describe numbers or relationship.,"Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or non-viable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods.*"
Math,CC.12.A.CED.3,9-12,A.CED,3,Create equations that describe numbers or relationship.,"Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or non-viable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods.*"
Math,CC.9.A.CED.4,9-12,A.CED,4,Create equations that describe numbers or relationship.,"Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations. For example, rearrange Ohm’s law V = IR to highlight resistance R.*"
Math,CC.10.A.CED.4,9-12,A.CED,4,Create equations that describe numbers or relationship.,"Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations. For example, rearrange Ohm’s law V = IR to highlight resistance R.*"
Math,CC.11.A.CED.4,9-12,A.CED,4,Create equations that describe numbers or relationship.,"Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations. For example, rearrange Ohm’s law V = IR to highlight resistance R.*"
Math,CC.12.A.CED.4,9-12,A.CED,4,Create equations that describe numbers or relationship.,"Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations. For example, rearrange Ohm’s law V = IR to highlight resistance R.*"
Math,CC.9.A.REI.1,9-12,A.REI,1,Understand solving equations as a process of reasoning and explain the reasoning.,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method."
Math,CC.10.A.REI.1,9-12,A.REI,1,Understand solving equations as a process of reasoning and explain the reasoning.,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method."
Math,CC.11.A.REI.1,9-12,A.REI,1,Understand solving equations as a process of reasoning and explain the reasoning.,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method."
Math,CC.12.A.REI.1,9-12,A.REI,1,Understand solving equations as a process of reasoning and explain the reasoning.,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method."
Math,CC.9.A.REI.2,9-12,A.REI,2,Understand solving equations as a process of reasoning and explain the reasoning.,"Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise."
Math,CC.10.A.REI.2,9-12,A.REI,2,Understand solving equations as a process of reasoning and explain the reasoning.,"Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise."
Math,CC.11.A.REI.2,9-12,A.REI,2,Understand solving equations as a process of reasoning and explain the reasoning.,"Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise."
Math,CC.12.A.REI.2,9-12,A.REI,2,Understand solving equations as a process of reasoning and explain the reasoning.,"Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise."
Math,CC.9.A.REI.3,9-12,A.REI,3,Solve equations and inequalities in one variable.,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters."
Math,CC.10.A.REI.3,9-12,A.REI,3,Solve equations and inequalities in one variable.,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters."
Math,CC.11.A.REI.3,9-12,A.REI,3,Solve equations and inequalities in one variable.,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters."
Math,CC.12.A.REI.3,9-12,A.REI,3,Solve equations and inequalities in one variable.,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters."
Math,CC.9.A.REI.4,9-12,A.REI,4,Solve equations and inequalities in one variable.,Solve quadratic equations in one variable.
Math,CC.10.A.REI.4,9-12,A.REI,4,Solve equations and inequalities in one variable.,Solve quadratic equations in one variable.
Math,CC.11.A.REI.4,9-12,A.REI,4,Solve equations and inequalities in one variable.,Solve quadratic equations in one variable.
Math,CC.12.A.REI.4,9-12,A.REI,4,Solve equations and inequalities in one variable.,Solve quadratic equations in one variable.
Math,CC.9.A.REI.4a,9-12,A.REI,4a,Solve equations and inequalities in one variable.,Derive the quadratic formula from this form.
Math,CC.10.A.REI.4a,9-12,A.REI,4a,Solve equations and inequalities in one variable.,Derive the quadratic formula from this form.
Math,CC.11.A.REI.4a,9-12,A.REI,4a,Solve equations and inequalities in one variable.,Derive the quadratic formula from this form.
Math,CC.12.A.REI.4a,9-12,A.REI,4a,Solve equations and inequalities in one variable.,Derive the quadratic formula from this form.
Math,CC.9.A.REI.4b,9-12,A.REI,4b,Solve equations and inequalities in one variable.,Recognize when the quadratic formula gives complex solutions and write them as a ± bi for real numbers a and b.
Math,CC.10.A.REI.4b,9-12,A.REI,4b,Solve equations and inequalities in one variable.,Recognize when the quadratic formula gives complex solutions and write them as a ± bi for real numbers a and b.
Math,CC.11.A.REI.4b,9-12,A.REI,4b,Solve equations and inequalities in one variable.,Recognize when the quadratic formula gives complex solutions and write them as a ± bi for real numbers a and b.
Math,CC.12.A.REI.4b,9-12,A.REI,4b,Solve equations and inequalities in one variable.,Recognize when the quadratic formula gives complex solutions and write them as a ± bi for real numbers a and b.
Math,CC.9.A.REI.5,9-12,A.REI,5,Solve systems of equations.,"Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions."
Math,CC.10.A.REI.5,9-12,A.REI,5,Solve systems of equations.,"Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions."
Math,CC.11.A.REI.5,9-12,A.REI,5,Solve systems of equations.,"Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions."
Math,CC.12.A.REI.5,9-12,A.REI,5,Solve systems of equations.,"Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions."
Math,CC.9.A.REI.6,9-12,A.REI,6,Solve systems of equations.,"Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables."
Math,CC.10.A.REI.6,9-12,A.REI,6,Solve systems of equations.,"Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables."
Math,CC.11.A.REI.6,9-12,A.REI,6,Solve systems of equations.,"Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables."
Math,CC.12.A.REI.6,9-12,A.REI,6,Solve systems of equations.,"Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables."
Math,CC.9.A.REI.7,9-12,A.REI,7,Solve systems of equations.,"Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically. For example, find the points of intersection between the line y = –3x and the circle x^2 + y^2 = 3."
Math,CC.10.A.REI.7,9-12,A.REI,7,Solve systems of equations.,"Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically. For example, find the points of intersection between the line y = –3x and the circle x^2 + y^2 = 3."
Math,CC.11.A.REI.7,9-12,A.REI,7,Solve systems of equations.,"Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically. For example, find the points of intersection between the line y = –3x and the circle x^2 + y^2 = 3."
